name	label	label-fr	schema	dc-element	dc-qualifier	type	legacy_marc	obligation	repeatable	range_label	range_url	range_values	configuration	indexes	definition
dspace_entity_type	Entity Type	Type d'entité	dspace	entity	type	descriptive		automatic	false	List of entities		Publication,Product,Dataset or other product	researchoutputs	entityType, dspace.entity.type	Description coming soon...
cris_legacyId	Legacy ID	Ancien identifiant	cris	legacyId		legacy	001	legacy	false	integer			researchoutputs	cris.legacyId	Description coming soon...
dc_title	Title	Titre	dc	title		descriptive	245__a	required	false	String			researchoutputs	title, dc.title	Description coming soon...
dc_title_alternative	Additional titles	Autres titres	dc	title	alternative	descriptive		optional	true	String			researchoutputs	dc.title.alternative	Description coming soon...
dc_type	Resource type	Type	dc	type		descriptive	336__a	required	false	COAR Resources types vocabulary	https://vocabularies.coar-repositories.org/resource_types/		researchoutputs	types, itemtype, dc.type	Description coming soon...
epfl_legacy_itemtype	Legacy item type	Type hérité	epfl	legacy	itemtype	legacy	336__a	legacy	false	legacy_itemtypes			researchoutputs	epfl.legacy.itemtype	Description coming soon...
dc_identifier_uri	URI	URI	dc	identifier	uri	administrative		automatic	false	URI			researchoutputs	dc.identifier.uri	Description coming soon...
dc_identifier_hdl	Handle	Handle	dc	identifier	hdl	administrative		automatic	false	Handle identifier (prefix 20.500.14299/{id})			researchoutputs	itemidentifier, dc.identifier.hdl	Description coming soon...
dc_identifier_acoua	ACOUA preservation ID	ACOUA preservation ID	dc	identifier	acoua	administrative	02470a (if 024702 == acoua)	requiredWhenAvailable	true	Acoua preservation identifier			researchoutputs	itemidentifier, dc.identifier.acoua	Description coming soon...
epfl_thesis_number	Thesis number	Numéro administratif	epfl	thesis	number	administrative	088__a	requiredWhenAvailable	true	EPFL thesis administrative number			researchoutputs	epfl.thesis.number	Description coming soon...
dc_identifier_doi	DOI	DOI	dc	identifier	doi	descriptive	0247_a (if 0247_2 == doi)	requiredWhenAvailable	true	DOI identifier			researchoutputs	itemidentifier, doi, dc.identifier.doi	Description coming soon...
dc_identifier_isbn	ISBN	ISBN	dc	identifier	isbn	descriptive	020__a	requiredWhenAvailable	true	ISBN			researchoutputs	itemidentifier, dc.identifier.isbn	Description coming soon...
dc_identifier_isi	WOS ID	WOS ID	dc	identifier	isi	administrative	02470a (if 024702 == isi)	optional	true	Web of Science Record identifier			researchoutputs	itemidentifier, dc.identifier.isi	Description coming soon...
dc_identifier_scopus	SCOPUS ID	SCOPUS ID	dc	identifier	scopus	administrative	02470a (if 024702 == scopus)	optional	true	Scopus Record identifier			researchoutputs	itemidentifier, dc.identifier.scopus	Description coming soon...
dc_identifier_pmid	PMID	PMID	dc	identifier	pmid	administrative	02470a (if 024702 == pmid)	optional	true	Pubmed identifier			researchoutputs	itemidentifier, dc.identifier.pmid	Description coming soon...
dc_identifier_iso	ISO	ISO	dc	identifier	iso	descriptive	02470a (if 024702 == iso)	requiredWhenAvailable	true	ISO			researchoutputs	itemidentifier, dc.identifier.iso	Description coming soon...
dc_identifier_standardno	Standard number	Numéro de la norme	dc	identifier	standardno	descriptive	740__a	optional	false	String			researchoutputs	dc.identifier.standardno	Description coming soon...
dc_identifier_reportno	Report number	Numéro du rapport	dc	identifier	reportno	descriptive		optional	false	String			researchoutputs	dc.identifier.reportno	Description coming soon...
dc_identifier_epo	Patent Family ID	Identifiant famille EPO	dc	identifier	epo	administrative	02470a (if 024702 == EPO Family ID)	optional	false	EPO family Identifier			researchoutputs	itemidentifier, dc.identifier.epo	Description coming soon...
dc_identifier_patentno	Patent number	Numéro du brevet	dc	identifier	patentno	descriptive	013__a	optional	true	String			researchoutputs	dc.identifier.patentno	Description coming soon...
dc_identifier_applicationnumber	Application number	Demande	dc	identifier	applicationnumber	descriptive		optional	true	String			researchoutputs	dc.identifier.applicationnumber	Description coming soon...
dc_identifier_prioritynumber	Priority number	Priorités	dc	identifier	prioritynumber	descriptive		optional	true	String			researchoutputs	dc.identifier.prioritynumber	Description coming soon...
cris_virtual_sciperId	Sciper ID	Identifiant Sciper	cris	virtual	sciperId	administrative	700__g, 720__g, 720_1g, 720_2g	virtualMetadata	true	integer			researchoutputs	cris.virtual.sciperId	Description coming soon...
cris_virtualsource_orcid	ORCID Id (only for EPFL members with EPFL linked ORCID)	Identifiant ORCID ((only for EPFL members with EPFL linked ORCID)	cris	virtualsource	orcid	administrative		virtualMetadata	true	ORCID identifier			researchoutputs	cris.virtualsource.orcid	Description coming soon...
cris_virtual_author-scopus	Scopus Author ID	Scopus Author ID	cris	virtual	author-scopus	administrative		virtualMetadata	true	Scopus Author Identifier			researchoutputs	cris.virtual.author-scopus	Description coming soon...
cris_virtual_rid	ResearcherID	ResearcherID	cris	virtual	rid	administrative		virtualMetadata	true	ResearcherID identifier			researchoutputs	cris.virtual.rid	Description coming soon...
epfl_contributor_role	Corporate author name	Auteur correspondant	epfl	contributor	role	descriptive		optional	false	true/false			researchoutputs	epfl.contributor.role	Description coming soon...
dc_contributor_author	Author(s) or Inventor name	Auteur(s)	dc	contributor	author	descriptive	700__a	requiredWhenAvailable	true	String or author authority			researchoutputs	author, author_editor, dc.contributor.author	Description coming soon...
oairecerif_affiliation_orgunit	Contributor EPFL unit	Unité ou Laboratoire	oairecerif	affiliation	orgunit	descriptive		recommended	false	orgunit authority			researchoutputs	oairecerif.affiliation.orgunit	Description coming soon...
oairecerif_author_affiliation	Author Institution	Institution	oairecerif	author	affiliation	descriptive		recommended	false	ROR registry	https://ror.org/		researchoutputs	oairecerif.author.affiliation	Description coming soon...
dc_contributor_scientificeditor	Scientific editor(s)	Éditeur(s) scientifique(s)	dc	contributor	scientificeditor	descriptive	720_1a	requiredWhenAvailable	true	String			researchoutputs	editor, author_editor, dc.contributor.scientificeditor	Description coming soon...
oairecerif_scientificeditor_affiliation	Scientifc Editor Institution	Institution	oairecerif	scientificeditor	affiliation	descriptive		recommended	false	ROR registry	https://ror.org/		researchoutputs	oairecerif.scientificeditor.affiliation	Description coming soon...
dc_contributor_advisor	Advisor(s)	Directeur(s)	dc	contributor	advisor	descriptive	720_2a	requiredWhenAvailable	true	String or advisor authority			researchoutputs	author_editor, dc.contributor.advisor	Description coming soon...
oairecerif_advisor_affiliation	Advisor Institution	Institution	oairecerif	advisor	affiliation	descriptive		recommended	false	ROR registry	https://ror.org/		researchoutputs	oairecerif.advisor.affiliation	Description coming soon...
dc_contributor	Contributor(s) or Corporate author(s)	Contributeur(s)	dc	contributor		descriptive	710__a	optional	true	String or editor authority			researchoutputs	dc.contributor	Description coming soon...
oairecerif_contributor_affiliation	Contributor Institution	Institution	oairecerif	contributor	affiliation	descriptive		optional	false	ROR registry	https://ror.org/		researchoutputs	oairecerif.contributor.affiliation	Description coming soon...
epfl_thesis_jury	Jury	Jury	epfl	thesis	jury	descriptive	502__a	optional	false	String			researchoutputs	epfl.thesis.jury	Description coming soon...
